Step	Validation total_reward
11000	-3.3367230286587635
12000	0.3397823859022683
13000	0.059280444404221866
14000	0.21055988539752557
15000	-4.720730574806151
16000	-1.1346194083784003
17000	-4.813085749568928
18000	-2.5637548047926115
19000	-4.1223392867803925
20000	-0.3512561303357298
21000	-1.747202486710468
22000	-0.9182861555199531
23000	-4.781417691299349
24000	-2.0616691123266073
25000	0.9039358291874537
26000	-1.7320869167809692
27000	0.48693152944190987
28000	-1.6806248093386813
29000	0.03956243449731878
30000	0.29843490873692013
31000	0.792444302981221
32000	0.958505397545062
33000	-3.615860620336263
34000	-0.5459996738095878
35000	-0.2869841437982308
36000	-0.763251491259914
37000	-5.187717248420513
38000	-0.11046730551521433
39000	0.977338582856691
40000	-0.6543452421033251
41000	-0.9153723294372631
42000	-0.605089787476675
43000	0.43738388896402847
44000	-1.2142318600088413
45000	0.8020029752483294
46000	-6.506580902196132
47000	-2.651865946557916
48000	-1.1531539851969512
49000	-1.8533453953465577
50000	0.43223446567119717
51000	-2.51175999805822
52000	0.29121781659473756
53000	-0.2762549445875555
54000	0.858067144757758
55000	0.9880660268402075
56000	0.6995157383912977
57000	1
58000	-5.7094672886425535
59000	-2.216833982754002
60000	0.07718372685809749
61000	-1.350916514946233
62000	0.18835364277300748
63000	-0.590983746239315
64000	-11.157681842045864
65000	0.5069202853789188
66000	0.5680040195916254
67000	-2.9001567961751307
68000	-2.068182423212657
69000	-0.46242159925047766
70000	0.316673836951173
71000	0.14441333093143383
72000	-0.0006703980193116799
73000	-1.9515965432894653
74000	-1.9253575735979416
75000	0.28354844189764405
76000	-2.8275681205652012
77000	-0.36002317975435627
78000	-2.4199608659830223
79000	0.26171598790796013
